block_start,block_end,train_rows,early_stop_rows,stack_validation_rows,short_1d_best_iteration,medium_5d_best_iteration,long_20d_best_iteration
2020-12-31,2021-03-30,540,60,60,33,6,1
2021-03-31,2021-06-28,540,60,60,270,27,141
2021-06-29,2021-09-26,540,60,60,1,1,1
2021-09-27,2021-12-25,540,60,60,75,1,3
2021-12-26,2022-03-25,540,60,60,1,3,1
2022-03-26,2022-06-23,540,60,60,1,37,844
2022-06-24,2022-09-21,540,60,60,1,1,1
2022-09-22,2022-12-20,540,60,60,36,106,1
2022-12-21,2023-03-20,540,60,60,3,50,1
2023-03-21,2023-06-18,540,60,60,17,1,1
2023-06-19,2023-09-16,540,60,60,4,3,57
2023-09-17,2023-12-15,540,60,60,207,5,4
2023-12-16,2024-03-14,540,60,60,1,3,1
2024-03-15,2024-06-12,540,60,60,1,1,1
2024-06-13,2024-09-10,540,60,60,1,8,15
2024-09-11,2024-12-09,540,60,60,5,154,1
2024-12-10,2025-03-09,540,60,60,1,31,1
2025-03-10,2025-06-07,540,60,60,1,1,1
2025-06-08,2025-09-05,540,60,60,56,56,74
2025-09-06,2025-12-04,540,60,60,1,4,1
2025-12-05,2025-12-30,540,60,60,185,16,24
